Nama,Alamat,Jam,URL Store
IKEA Alam Sutera,"Jl. Jalur Sutera Boulevard No. 45 Alam Sutera, Tangerang 15144",Senin - Minggu & libur nasional: 10.00 - 22.00 WIB,https://www.ikea.co.id/in/lokasi-kami/toko/ikea-alam-sutera
IKEA Sentul City,"Jl. MH. Thamrin, Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810",Senin - Minggu & Libur nasional: 10.00 - 21.00 WIB,https://www.ikea.co.id/in/lokasi-kami/toko/ikea-sentul
IKEA Bali,"Jl. Patih Jelantik, Kuta Central Park, Bali 80361, Kabupaten Badung, Kuta",Senin - Minggu: 10.00 - 22.00 WITA,https://www.ikea.co.id/in/lokasi-kami/toko/ikea-bali
IKEA Jakarta Garden City,"Jl. Jakarta Garden City Boulevard No.176 RT.07/RW.14, Kel. Cakung Timur - Kec. Cakung, Kota Jakarta Timur - Daerah Khusus Ibukota Jakarta 13910",Khusus tanggal 22 Des 2023 - 1 Jan 2024 Jam operasional : 10.00 - 22.00 WIB,https://www.ikea.co.id/in/lokasi-kami/toko/ikea-jakarta-garden-city
IKEA Kota Baru Parahyangan,"Jl. Parahyangan Raya No.kav. 9, Kertajaya, Padalarang, Kabupaten Bandung Barat, Jawa Barat 40553",Senin – Jumat (bukan Libur nasional): 10.00 - 21.00 WIB Sabtu – Minggu & Libur nasional : 09.00 - 21.00 WIB,https://www.ikea.co.id/in/lokasi-kami/toko/ikea-kota-baru-parahyangan
IKEA Mal Taman Anggrek,"Mal Taman Anggrek Lantai 3 & 4 (untuk toko) dan Lantai P1 (untuk area Click & Collect) Jl. Letjen S. Parman No.Kav. 21, RT.12/RW.1, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",Senin – Minggu & Libur nasional : 10.00 - 22.00 WIB,https://www.ikea.co.id/in/lokasi-kami/toko/ikea-mal-taman-anggrek
IKEA Surabaya - Mall Ciputra World,"Mall Ciputra World Surabaya Lantai Lower Ground (LG) Unit 1 Jl. Mayjen Sungkono No.89, Gn. Sari, Kec. Dukuhpakis, Kota Surabaya, Jawa Timur 60224",Senin – Minggu & Libur nasional : 10.00 - 22.00 WIB,https://www.ikea.co.id/in/lokasi-kami/toko/ikea-surabaya
