ID,State,Type,Address,Price,Bedroom,Bathroom,Parking
438350440,QLD,House,"73 Blinzinger Road, Banyo",$550 per week,4 bedrooms,2 bathrooms,1 parking space
438350424,QLD,Apartment,"1103/6 Land Street, Toowong",$600 per week,1 bedroom,study,1 bathroom
438350416,QLD,House,"8 Highgrove Street, Thornlands",$950 per week,4 bedrooms,2 bathrooms,2 parking spaces
438350376,QLD,Unit,"2/58 Crest Street, Mount Gravatt East",$480 per week,2 bedrooms,1 bathroom,1 parking space
438350372,QLD,House,"15 Ming Dynasty Court, Dakabin",$760 per week,5 bedrooms,2 bathrooms,2 parking spaces
438350368,QLD,House,"219-229 Amber Crescent, Jimboomba",$850 per week,5 bedrooms,study,3 bathrooms
438350360,QLD,House,"12/4 Sheehan Street, Milton",$600 per week,2 bedrooms,2 bathrooms,2 parking spaces
438350356,QLD,Apartment,"4/46 Eversley Terrace, Yeronga",$620 per week,2 bedrooms,study,2 bathrooms
438350348,QLD,Unit,"1/12 Kensei Street, Wyreema",$330 per week,2 bedrooms,1 bathroom,1 parking space
438350344,QLD,Unit,"202/18-20 Wright Street, Maroochydore",$800,3 bedrooms,2 bathrooms,1 parking space
438350332,QLD,Unit,"9/33 Florrie Street, Lutwyche",$620 per week,2 bedrooms,2 bathrooms,1 parking space
438350328,QLD,House,"24 The Promenade, Springfield Lakes",$550 wk,4 bedrooms,2 bathrooms,2 parking spaces
438350308,QLD,Unit,"5/1163 Sandgate Road, Nundah",$650 per week,2 bedrooms,2 bathrooms,1 parking space
438350268,QLD,House,"Address available on request, Stratford",$500.00 per week,2 bedrooms,1 bathroom,1 parking space
438350264,QLD,Townhouse,"5/15 Pickwick Street, Cannon Hill",$750 per week,3 bedrooms,2 bathrooms,1 parking space
438350216,QLD,House,"30 Coonara Street, Holland Park",$1350.00 per week,5 bedrooms,3 bathrooms,2 parking spaces
438350168,QLD,Unit,"1/23 Ann Street, Mount Isa",$450 pw,3 bedrooms,1 bathroom,2 parking spaces
438350164,QLD,House,"10/85 Berry Street, Spring Hill",$530 PER WEEK,2 bedrooms,2 bathrooms,1 parking space
438350144,QLD,Apartment,"ID:21125496/8 Musgrave Street, West End",$725 per week,2 bedrooms,2 bathrooms,1 parking space
438350096,QLD,Townhouse,"26  Theatre Drive, Benowa","$1,000 per week",3 bedrooms,3 bathrooms,2 parking spaces
438350092,QLD,House,"12 Kalkadoon Street, Eight Mile Plains",$700 per week,4 bedrooms,2 bathrooms,2 parking spaces
438350084,QLD,House,"8 Chancellor Circuit, Meadowbrook",$680 per week,4 bedrooms,2 bathrooms,2 parking spaces
438350076,QLD,House,"1/19 Sunrise Court, Loganlea",$490 per week,3 bedrooms,2 bathrooms,1 parking space
438350072,QLD,House,"332 Head Rd, Carneys Creek",$430pw including electricity,4 bedrooms,1 bathroom,
438350056,QLD,Apartment,"2110/5 Harbourside Court, Biggera Waters",$750 per week,2 bedrooms,2 bathrooms,1 parking space
438350032,QLD,House,"43 Abbeyfeale Circuit, Meringandan West",$600 per week,4 bedrooms,2 bathrooms,2 parking spaces
438350028,QLD,Unit,"404/25 Hope Street, South Brisbane",$675 per week,2 bedrooms,2 bathrooms,1 parking space
438350000,QLD,House,"26 Bilyana Street, Balmoral",$820 per week,3 bedrooms,1 bathroom,2 parking spaces
438349968,QLD,Duplex/Semi-detached,"2/2 Fanflower Street, Logan Reserve",$420 per week,2 bedrooms,1 bathroom,1 parking space
438349948,QLD,House,"22 Narela Street, Cannon Hill",$575 per week,3 bedrooms,1 bathroom,1 parking space
438349944,QLD,Apartment,"6/12 Brook Street, Everton Park",$425 p/wk,1 bedroom,1 bathroom,1 parking space
438349916,QLD,House,"10 Meroo Place, Upper Coomera",$750pw,4 bedrooms,3 bathrooms,2 parking spaces
438349912,QLD,Unit,"1/61-63 McLean Street, Coolangatta",$520 per week,2 bedrooms,1 bathroom,1 parking space
438349880,QLD,House,"40 Burrum Drive, Ripley",$600 per week,4 bedrooms,2 bathrooms,2 parking spaces
438349860,QLD,House,"21/7 Kingfisher Parade, Norman Gardens",$400.00 PW,3 bedrooms,1 bathroom,1 parking space
438349836,QLD,Unit,"Address available on request, Teneriffe",$550 per week,1 bedroom,1 bathroom,1 parking space
438349828,QLD,House,"11 Tree Ring Circuit, Mango Hill",$650 per week,4 bedrooms,2 bathrooms,2 parking spaces
438349820,QLD,House,"16 Mellor Street, Augustine Heights",$650 per week,4 bedrooms,2 bathrooms,2 parking spaces
438349812,QLD,House,"144 Minimine, Stafford",$750.00 per week,3 bedrooms,1 bathroom,3 parking spaces
438349780,QLD,House,"5 Teal Court, Kallangur",$550 per week,3 bedrooms,study,2 bathrooms
438349776,QLD,House,"46 Capricornia Drive, Calliope",$500 pw,4 bedrooms,2 bathrooms,2 parking spaces
438349760,QLD,Flat,"3/36 Preston Rd, Carina",$810 per week,3 bedrooms,study,2 bathrooms
438349748,QLD,House,"2B Samara Street, Waterford West",$450 PER WEEK,2 bedrooms,1 bathroom,1 parking space
438349704,QLD,Unit,"4/17 Buddina Street, Stafford",$700 / wk,3 bedrooms,2 bathrooms,1 parking space
438349688,QLD,House,"9 Parry Street, Bulimba",$750 p/w,4 bedrooms,2 bathrooms,1 parking space
438349684,QLD,House,"20 Speargrass Parade, Mount Low",$600 per week,5 bedrooms,2 bathrooms,4 parking spaces
438349660,QLD,Apartment,"5/121 Melton Road, Nundah",$490 per week,2 bedrooms,1 bathroom,1 parking space
438349636,QLD,House,"13 Elm Street, Blackwater",$525 per week,4 bedrooms,2 bathrooms,2 parking spaces
438349624,QLD,Apartment,"1/66 Waverley Road, Taringa",$600 per week,2 bedrooms,2 bathrooms,1 parking space
438349608,QLD,Duplex/Semi-detached,"1/18 Clements Street, South Mackay",$490 pw,3 bedrooms,2 bathrooms,1 parking space
438349564,QLD,Unit,"18/248 Sheridan Street, Cairns North",$300 per week,1 bedroom,1 bathroom,1 parking space
