Nama,Provinsi,Lokasi,Jam
Gramedia Yogya Plaza Ambarrukmo,DAERAH ISTIMEWA YOGYAKARTA,"Jl. Laksda Adisucipto No.80, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Yogya Mall Malioboro,DAERAH ISTIMEWA YOGYAKARTA,"Mal Malioboro, Jalan Malioboro No.52-58 Suryatmajan Kecamatan Danurejan Lantai Lower Ground, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Yogyakarta Sudirman,DAERAH ISTIMEWA YOGYAKARTA,"Jl. Jend. Sudirman No.54-56, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Yogya Citymall,DAERAH ISTIMEWA YOGYAKARTA,"UG, Jogja City Mall Lantai, Jl. Magelang No.Km.6, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Senin – Minggu 09:00 – 21:00
Gramedia Surabaya Manyar,JAWA TIMUR,"Gramedia Book Store, Jl. Manyar Kertoarjo No.16, Manyar Sabrangan, Kec. Mulyorejo, Kota SBY, Jawa Timur 60116",Senin – Minggu 09:00 – 21:00
Gramedia Madiun Plaza,JAWA TIMUR,"Plaza Madiun, Jl. Pahlawan No.38 – 40, Pangongangan, Kec. Manguharjo, Kota Madiun, Jawa Timur 63121","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Malang Mal Town Square,JAWA TIMUR,"Jl. Veteran No.2, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113","Senin – Minggu, pukul 09.00 – 21.00"
Gramedia Kediri,JAWA TIMUR,"Gedung UFO Elektronik, Jl. Joyoboyo No.2, Dandangan, Kec. Kota Kediri, Kota Kediri, Jawa Timur 64129","Senin – Minggu, pukul 09.00 – 21.00"
Gramedia Surabaya Royal Plaza,JAWA TIMUR,"Royal Plaza Surabaya. Lantai UG. No. 26, Jl. Ahmad Yani No.16-18, Ketintang, Kec. Gayungan, Kota SBY, Jawa Timur 60231","Senin – Minggu, pukul 09:00 – 21:30"
Gramedia Tarakan Mulawarman,KALIMANTAN UTARA,"Jl. Mulawarman No.8-9A Gramedia, Karang Anyar Pantai, Tarakan Bar., Kota Tarakan, Kalimantan Utara 77111","Senin – Minggu, pukul 09:00 – 21:30"
