Nama,Lokasi,Kontak,Parkir,Kategori,URL Tenant
Vyatta,UG-K-09E,,3 near Lobby Lift B,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=c3af0adcaa
WACOAL,G-78,02129111092,BASEMENT near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=3bb2bbbebd
WAFFELICIOUS,1F-FOOD AV,,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=c7c17271ff
WARNA,1F-30,,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=0062060006
WAROENG TEH KOTJOK,1F-FOOD AV,Visit Tenant Official Website,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=bfe86e626e
WARUNG LEKO,LG-19,,LG near LOBBY PAXI / FOOD GARDEN,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=f61f6e5e61
WATCH STUDIO,UG-28,02129111106,3 near LOBBY LIFT B,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=d4eed66e24
WATCH ZONE,UG-10,02129111268,3 near LOBBY LIFT C,Watches & Optics,https://lippomallpuri.com/tenantDetail?tenant=1b22b2d262
WATSONS,1F-76,02129111008,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=00aea7260e
WATSONS,G-76,02129111008,LG near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=81ee5d8580
Waxhaus,LG-30,,Basement near Lobby Rockstar Gym,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=d4d7dd46d4
Wee Nam Kee,LG-12,,LG near LOBBY PAXI / FOOD GARDEN,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=564f546141
WICKED PIES,2F-K-12A,,3 near Lobby Lift C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=932199669d
Wild Mild,UG-92,,3 near Lobby Lift B,Children Related,https://lippomallpuri.com/tenantDetail?tenant=bbedfb7eff
Wimpy Craft,2F-63A,,3 near Lift C,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=4bd066a7b6
WINGSTOP,1F-09D,02130493009,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=16e6e2f6e2
WOW ACC,UG-73,Visit Tenant Official Website,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=ede40dc55d
XING FU TANG,LG-011B,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=9ee2626224
YA KUN KAYA TOAST,LG-85,02129111005,BASEMENT near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=62527267ca
